cpu_percent,mem_total,mem_used,mem_free,mem_percent,bytes_sent,bytes_recv,timestamp,ts_writerow
0.3,2000,132,1061,15.7,2658538,57920968,2021-03-10 20:40:54.540426,2021-03-10 20:42:21.510343
0.3,2000,132,1061,15.7,2663821,57925094,2021-03-10 20:42:54.555479,2021-03-10 20:43:21.516597
0.3,2000,132,1061,15.7,2663821,57925094,2021-03-10 20:42:54.555479,2021-03-10 20:44:21.522328
0.3,2000,132,1061,15.7,2669006,57929134,2021-03-10 20:44:54.705286,2021-03-10 20:45:21.528043
0.3,2000,132,1061,15.7,2669006,57929134,2021-03-10 20:44:54.705286,2021-03-10 20:46:21.532427
0.2,2000,132,1061,15.7,2674575,57933280,2021-03-10 20:46:54.743165,2021-03-10 20:47:21.536815
0.2,2000,132,1061,15.7,2674575,57933280,2021-03-10 20:46:54.743165,2021-03-10 20:48:21.542999
0.3,2000,132,1061,15.7,2679986,57937658,2021-03-10 20:48:54.893033,2021-03-10 20:49:21.549201
0.3,2000,132,1061,15.7,2679986,57937658,2021-03-10 20:48:54.893033,2021-03-10 20:50:21.556282
0.4,2000,132,1061,15.7,2685351,57942118,2021-03-10 20:50:54.981326,2021-03-10 20:51:21.559954
0.4,2000,132,1061,15.7,2685351,57942118,2021-03-10 20:50:54.981326,2021-03-10 20:52:21.564990
